from,to,n
"(0, 0, 0)","(0, 0, 0)",0.5465328972230443
"(0, 0, 0)","(1, 0, 0)",8.773099080263464e-05
"(0, 0, 0)","(2, 0, 0)",8.42337417387483e-05
"(0, 0, 0)","(3, 0, 0)",9.012910444644242e-05
"(1, 0, 0)","(0, 0, 0)",8.71314623916827e-05
"(1, 0, 0)","(1, 0, 0)",0.1546323661807622
"(1, 0, 0)","(2, 0, 0)",4.236667437393746e-05
"(1, 0, 0)","(3, 0, 0)",4.286628138306408e-05
"(2, 0, 0)","(0, 0, 0)",8.693161958803206e-05
"(2, 0, 0)","(1, 0, 0)",4.256651717758811e-05
"(2, 0, 0)","(2, 0, 0)",0.1469883789411249
"(2, 0, 0)","(3, 0, 0)",4.446502381226927e-05
"(3, 0, 0)","(0, 0, 0)",8.803075500811062e-05
"(3, 0, 0)","(1, 0, 0)",4.2166831570286815e-05
"(3, 0, 0)","(2, 0, 0)",4.736274446520367e-05
"(3, 0, 0)","(3, 0, 0)",0.15106037590831053
