from_str,to_str,value,from,to
"[(0, 1), (0, 1), (1, 0), (1, 0)]","[(0, 1), (0, 1), (2, 0)]",1C,1,5
"[(0, 1), (0, 1), (1, 0), (1, 0)]","[(0, 1), (1, 0), (1, 1)]",4C,1,2
"[(0, 1), (0, 1), (1, 0), (1, 0)]","[(0, 2), (1, 0), (1, 0)]",1C,1,4
"[(0, 1), (0, 1), (2, 0)]","[(0, 1), (2, 1)]",2C,5,7
"[(0, 1), (0, 1), (2, 0)]","[(0, 2), (2, 0)]",1C,5,8
"[(0, 1), (1, 0), (1, 1)]","[(0, 1), (0, 1), (1, 0), (1, 0)]",1R,2,1
"[(0, 1), (1, 0), (1, 1)]","[(0, 1), (2, 1)]",1C,2,7
"[(0, 1), (1, 0), (1, 1)]","[(1, 0), (1, 2)]",1C,2,6
"[(0, 1), (1, 0), (1, 1)]","[(1, 1), (1, 1)]",1C,2,3
"[(0, 1), (2, 1)]","[(0, 1), (0, 1), (2, 0)]",1R,7,5
"[(0, 1), (2, 1)]","[(2, 2)]",1C,7,9
"[(0, 2), (1, 0), (1, 0)]","[(0, 2), (2, 0)]",1C,4,8
"[(0, 2), (1, 0), (1, 0)]","[(1, 0), (1, 2)]",2C,4,6
"[(0, 2), (2, 0)]","[(2, 2)]",1C,8,9
"[(1, 0), (1, 2)]","[(0, 2), (1, 0), (1, 0)]",1R,6,4
"[(1, 0), (1, 2)]","[(2, 2)]",1C,6,9
"[(1, 1), (1, 1)]","[(0, 1), (1, 0), (1, 1)]",2R,3,2
"[(1, 1), (1, 1)]","[(2, 2)]",1C,3,9
"[(2, 2)]","[(0, 2), (2, 0)]",1R,9,8
