from,to,n
"(0, 0, 0)","(0, 0, 0)",0.5492757807107821
"(0, 0, 0)","(1, 0, 0)",8.08413172877808e-05
"(0, 0, 0)","(2, 0, 0)",8.443870594335571e-05
"(0, 0, 0)","(3, 0, 0)",8.283986654087798e-05
"(1, 0, 0)","(0, 0, 0)",8.104117221309052e-05
"(1, 0, 0)","(1, 0, 0)",0.15478913856431617
"(1, 0, 0)","(2, 0, 0)",3.637359640636862e-05
"(1, 0, 0)","(3, 0, 0)",3.8272218196810936e-05
"(2, 0, 0)","(0, 0, 0)",8.184059191432939e-05
"(2, 0, 0)","(1, 0, 0)",3.78725083461915e-05
"(2, 0, 0)","(2, 0, 0)",0.14029246170205048
"(2, 0, 0)","(3, 0, 0)",4.0370694912562973e-05
"(3, 0, 0)","(0, 0, 0)",8.513819818193973e-05
"(3, 0, 0)","(1, 0, 0)",3.707308864495263e-05
"(3, 0, 0)","(2, 0, 0)",3.9271492823359525e-05
"(3, 0, 0)","(3, 0, 0)",0.15491724557143968
