from,to,n
"(0, 0, 0)","(0, 0, 0)",0.06110894076064672
"(0, 0, 0)","(0, 0, 1)",1.416591559278089e-05
"(0, 0, 1)","(0, 0, 0)",1.416591559278089e-05
"(0, 0, 0)","(0, 0, 2)",1.4165915592780897e-05
"(0, 0, 2)","(0, 0, 0)",1.4165915592780897e-05
"(0, 0, 1)","(0, 0, 1)",0.06110910971029361
"(0, 0, 1)","(0, 0, 2)",1.399696594585786e-05
"(0, 0, 2)","(0, 0, 1)",1.399696594585786e-05
"(0, 0, 2)","(0, 0, 2)",0.06110910971029364
"(0, 0, 0)","(0, 1, 0)",1.0875626295963418e-05
"(0, 0, 0)","(0, 1, 1)",2.7404121860854274e-09
"(0, 1, 1)","(0, 0, 0)",2.7404121860854274e-09
"(0, 0, 0)","(0, 1, 2)",2.740412186085429e-09
"(0, 1, 2)","(0, 0, 0)",2.740412186085429e-09
"(0, 0, 1)","(0, 1, 1)",1.0875744075506006e-05
"(0, 0, 1)","(0, 1, 2)",2.6226326434905163e-09
"(0, 1, 2)","(0, 0, 1)",2.6226326434905163e-09
"(0, 0, 2)","(0, 1, 2)",1.0875744075506011e-05
"(0, 0, 0)","(0, 2, 0)",1.087592085884805e-05
"(0, 0, 0)","(0, 2, 1)",2.5931307437743367e-09
"(0, 2, 1)","(0, 0, 0)",2.5931307437743367e-09
"(0, 0, 0)","(0, 2, 2)",2.5931307437743384e-09
"(0, 2, 2)","(0, 0, 0)",2.5931307437743384e-09
"(0, 0, 1)","(0, 2, 1)",1.087597970198498e-05
"(0, 0, 1)","(0, 2, 2)",2.5342876068398605e-09
"(0, 2, 2)","(0, 0, 1)",2.5342876068398605e-09
"(0, 0, 2)","(0, 2, 2)",1.0875979701984989e-05
"(0, 1, 0)","(0, 0, 0)",1.0875626295963418e-05
"(0, 1, 0)","(0, 0, 1)",2.7404121860854274e-09
"(0, 0, 1)","(0, 1, 0)",2.7404121860854274e-09
"(0, 1, 0)","(0, 0, 2)",2.740412186085429e-09
"(0, 0, 2)","(0, 1, 0)",2.740412186085429e-09
"(0, 1, 1)","(0, 0, 1)",1.0875744075506006e-05
"(0, 1, 1)","(0, 0, 2)",2.6226326434905163e-09
"(0, 0, 2)","(0, 1, 1)",2.6226326434905163e-09
"(0, 1, 2)","(0, 0, 2)",1.0875744075506011e-05
"(0, 1, 0)","(0, 1, 0)",0.061108892553570056
"(0, 1, 0)","(0, 1, 1)",1.30881709758811e-05
"(0, 1, 1)","(0, 1, 0)",1.30881709758811e-05
"(0, 1, 0)","(0, 1, 2)",1.3088170975881106e-05
"(0, 1, 2)","(0, 1, 0)",1.3088170975881106e-05
"(0, 1, 1)","(0, 1, 1)",0.06110863042923866
"(0, 1, 1)","(0, 1, 2)",1.3350295307250817e-05
"(0, 1, 2)","(0, 1, 1)",1.3350295307250817e-05
"(0, 1, 2)","(0, 1, 2)",0.0611086304292387
"(0, 1, 0)","(0, 2, 0)",1.1514969699676558e-05
"(0, 1, 0)","(0, 2, 1)",2.63963250388952e-09
"(0, 2, 1)","(0, 1, 0)",2.63963250388952e-09
"(0, 1, 0)","(0, 2, 2)",2.6396325038895214e-09
"(0, 2, 2)","(0, 1, 0)",2.6396325038895214e-09
"(0, 1, 1)","(0, 2, 1)",1.1514989655937263e-05
"(0, 1, 1)","(0, 2, 2)",2.6196762431781325e-09
"(0, 2, 2)","(0, 1, 1)",2.6196762431781325e-09
"(0, 1, 2)","(0, 2, 2)",1.1514989655937268e-05
"(0, 2, 0)","(0, 0, 0)",1.087592085884805e-05
"(0, 2, 0)","(0, 0, 1)",2.5931307437743367e-09
"(0, 0, 1)","(0, 2, 0)",2.5931307437743367e-09
"(0, 2, 0)","(0, 0, 2)",2.5931307437743384e-09
"(0, 0, 2)","(0, 2, 0)",2.5931307437743384e-09
"(0, 2, 1)","(0, 0, 1)",1.087597970198498e-05
"(0, 2, 1)","(0, 0, 2)",2.5342876068398605e-09
"(0, 0, 2)","(0, 2, 1)",2.5342876068398605e-09
"(0, 2, 2)","(0, 0, 2)",1.0875979701984989e-05
"(0, 2, 0)","(0, 1, 0)",1.1514969699676558e-05
"(0, 2, 0)","(0, 1, 1)",2.63963250388952e-09
"(0, 1, 1)","(0, 2, 0)",2.63963250388952e-09
"(0, 2, 0)","(0, 1, 2)",2.6396325038895214e-09
"(0, 1, 2)","(0, 2, 0)",2.6396325038895214e-09
"(0, 2, 1)","(0, 1, 1)",1.1514989655937263e-05
"(0, 2, 1)","(0, 1, 2)",2.6196762431781325e-09
"(0, 1, 2)","(0, 2, 1)",2.6196762431781325e-09
"(0, 2, 2)","(0, 1, 2)",1.1514989655937268e-05
"(0, 2, 0)","(0, 2, 0)",0.061108287415141765
"(0, 2, 0)","(0, 2, 1)",1.12623416681576e-05
"(0, 2, 1)","(0, 2, 0)",1.12623416681576e-05
"(0, 2, 0)","(0, 2, 2)",1.1262341668157605e-05
"(0, 2, 2)","(0, 2, 0)",1.1262341668157605e-05
"(0, 2, 1)","(0, 2, 1)",0.06110729504661296
"(0, 2, 1)","(0, 2, 2)",1.2254710196927163e-05
"(0, 2, 2)","(0, 2, 1)",1.2254710196927163e-05
"(0, 2, 2)","(0, 2, 2)",0.06110729504661298
"(0, 0, 0)","(1, 0, 0)",3.94444486618098e-06
"(1, 0, 0)","(0, 0, 0)",3.94444486618098e-06
"(0, 1, 0)","(1, 0, 0)",4.176190089363925e-06
"(1, 0, 0)","(0, 1, 0)",4.176190089363925e-06
"(0, 2, 0)","(1, 0, 0)",4.806697321787935e-06
"(1, 0, 0)","(0, 2, 0)",4.806697321787935e-06
"(0, 0, 0)","(2, 0, 0)",3.944525018857837e-06
"(2, 0, 0)","(0, 0, 0)",3.944525018857837e-06
"(0, 1, 0)","(2, 0, 0)",4.176274952083515e-06
"(2, 0, 0)","(0, 1, 0)",4.176274952083515e-06
"(0, 2, 0)","(2, 0, 0)",4.806794998768927e-06
"(2, 0, 0)","(0, 2, 0)",4.806794998768927e-06
"(0, 0, 0)","(3, 0, 0)",3.944525018857837e-06
"(3, 0, 0)","(0, 0, 0)",3.944525018857837e-06
"(0, 1, 0)","(3, 0, 0)",4.176274952083515e-06
"(3, 0, 0)","(0, 1, 0)",4.176274952083515e-06
"(0, 2, 0)","(3, 0, 0)",4.806794998768927e-06
"(3, 0, 0)","(0, 2, 0)",4.806794998768927e-06
"(0, 0, 0)","(1, 0, 1)",2.0048569471908867e-09
"(1, 0, 1)","(0, 0, 0)",2.0048569471908867e-09
"(0, 1, 0)","(1, 0, 1)",2.0688811355127376e-09
"(1, 0, 1)","(0, 1, 0)",2.0688811355127376e-09
"(0, 2, 0)","(1, 0, 1)",2.2619122155120353e-09
"(1, 0, 1)","(0, 2, 0)",2.2619122155120353e-09
"(0, 0, 0)","(2, 0, 1)",3.698439855975194e-06
"(2, 0, 1)","(0, 0, 0)",3.698439855975194e-06
"(0, 1, 0)","(2, 0, 1)",3.915708245276598e-06
"(2, 0, 1)","(0, 1, 0)",3.915708245276598e-06
"(0, 2, 0)","(2, 0, 1)",4.506836705979506e-06
"(2, 0, 1)","(0, 2, 0)",4.506836705979506e-06
"(0, 0, 0)","(3, 0, 1)",3.6984398559751936e-06
"(3, 0, 1)","(0, 0, 0)",3.6984398559751936e-06
"(0, 1, 0)","(3, 0, 1)",3.915708245276598e-06
"(3, 0, 1)","(0, 1, 0)",3.915708245276598e-06
"(0, 2, 0)","(3, 0, 1)",4.506836705979505e-06
"(3, 0, 1)","(0, 2, 0)",4.506836705979505e-06
"(0, 0, 0)","(1, 0, 2)",2.004856947190887e-09
"(1, 0, 2)","(0, 0, 0)",2.004856947190887e-09
"(0, 1, 0)","(1, 0, 2)",2.0688811355127384e-09
"(1, 0, 2)","(0, 1, 0)",2.0688811355127384e-09
"(0, 2, 0)","(1, 0, 2)",2.2619122155120365e-09
"(1, 0, 2)","(0, 2, 0)",2.2619122155120365e-09
"(0, 0, 0)","(2, 0, 2)",3.6984398559751957e-06
"(2, 0, 2)","(0, 0, 0)",3.6984398559751957e-06
"(0, 1, 0)","(2, 0, 2)",3.9157082452766e-06
"(2, 0, 2)","(0, 1, 0)",3.9157082452766e-06
"(0, 2, 0)","(2, 0, 2)",4.5068367059795075e-06
"(2, 0, 2)","(0, 2, 0)",4.5068367059795075e-06
"(0, 0, 0)","(3, 0, 2)",3.6984398559751944e-06
"(3, 0, 2)","(0, 0, 0)",3.6984398559751944e-06
"(0, 1, 0)","(3, 0, 2)",3.9157082452766e-06
"(3, 0, 2)","(0, 1, 0)",3.9157082452766e-06
"(0, 2, 0)","(3, 0, 2)",4.506836705979506e-06
"(3, 0, 2)","(0, 2, 0)",4.506836705979506e-06
"(0, 0, 0)","(1, 1, 1)",4.774507706783341e-10
"(1, 1, 1)","(0, 0, 0)",4.774507706783341e-10
