n_eval,t_A,t_B,t_C,t_2,t_upper,t_out,N_AB,N_ABC,r,loglik,time
0,0.006,0.006,0.008,0.002,0.0018027754226637813,0.016,0.002,0.002,0.5,-52609846.540751755,347.70195388793945
1,0.00600001,0.006,0.008,0.002,0.0018027754226637813,0.016,0.002,0.002,0.5,-52609846.57339201,659.7042429447174
2,0.006,0.00600001,0.008,0.002,0.0018027754226637813,0.016,0.002,0.002,0.5,-52609846.56291098,1021.8263788223267
3,0.006,0.006,0.00800001,0.002,0.0018027754226637813,0.016,0.002,0.002,0.5,-52609846.54622388,1358.8518273830414
4,0.006,0.006,0.008,0.00200001,0.0018027754226637813,0.016,0.002,0.002,0.5,-52609846.52235327,1706.7914896011353
5,0.006,0.006,0.008,0.002,0.0018027854226637813,0.016,0.002,0.002,0.5,-52609846.36868746,2030.1792380809784
6,0.006,0.006,0.008,0.002,0.0018027754226637813,0.016000010000000002,0.002,0.002,0.5,-52609846.38499823,2378.8654386997223
7,0.006,0.006,0.008,0.002,0.0018027754226637813,0.016,0.00200001,0.002,0.5,-52609846.544730715,2690.0803310871124
8,0.006,0.006,0.008,0.002,0.0018027754226637813,0.016,0.002,0.00200001,0.5,-52609846.36549579,3062.505299091339
9,0.006,0.006,0.008,0.002,0.0018027754226637813,0.016,0.002,0.002,0.50000001,-52609846.5407754,3390.706744670868
10,0.0006000000000000001,0.0006000000000000001,0.0008,0.02,0.018027754226637813,0.16,0.0002,0.02,0.05,-55977293.84029821,3711.696133375168
11,0.0006000100000000001,0.0006000000000000001,0.0008,0.02,0.018027754226637813,0.16,0.0002,0.02,0.05,-55977293.90391155,4071.802065849304
12,0.0006000000000000001,0.0006000100000000001,0.0008,0.02,0.018027754226637813,0.16,0.0002,0.02,0.05,-55977293.89582557,4410.187822341919
13,0.0006000000000000001,0.0006000000000000001,0.0008000100000000001,0.02,0.018027754226637813,0.16,0.0002,0.02,0.05,-55977293.80231994,4800.871474504471
14,0.0006000000000000001,0.0006000000000000001,0.0008,0.01999999,0.018027754226637813,0.16,0.0002,0.02,0.05,-55977293.64049422,5142.043125867844
15,0.0006000000000000001,0.0006000000000000001,0.0008,0.02,0.01802774422663781,0.16,0.0002,0.02,0.05,-55977293.60990075,5517.303683280945
16,0.0006000000000000001,0.0006000000000000001,0.0008,0.02,0.018027754226637813,0.15999999,0.0002,0.02,0.05,-55977293.60958757,5838.463748216629
17,0.0006000000000000001,0.0006000000000000001,0.0008,0.02,0.018027754226637813,0.16,0.00020001,0.02,0.05,-55977293.4755366,6193.013937950134
