n_eval,t_A,t_B,t_C,t_2,t_upper,t_out,N_AB,N_ABC,r,loglik,time
0,0.006,0.006,0.008,0.002,0.0018027754226637813,0.016,0.002,0.002,0.5,-52609846.540751755,271.62801694869995
1,0.0063,0.006,0.008,0.002,0.0018027754226637813,0.016,0.002,0.002,0.5,-52610968.5515207,545.3211555480957
2,0.006,0.0063,0.008,0.002,0.0018027754226637813,0.016,0.002,0.002,0.5,-52610659.36318282,814.2454533576965
3,0.006,0.006,0.008400000000000001,0.002,0.0018027754226637813,0.016,0.002,0.002,0.5,-52610296.78172681,1081.6900124549866
4,0.006,0.006,0.008,0.0021000000000000003,0.0018027754226637813,0.016,0.002,0.002,0.5,-52609702.49944827,1347.0195932388306
5,0.006,0.006,0.008,0.002,0.0018929141937969705,0.016,0.002,0.002,0.5,-52608306.85045756,1613.5245883464813
6,0.006,0.006,0.008,0.002,0.0018027754226637813,0.016800000000000002,0.002,0.002,0.5,-52598111.06666227,1885.3803470134735
7,0.006,0.006,0.008,0.002,0.0018027754226637813,0.016,0.0021000000000000003,0.002,0.5,-52609902.91805428,2154.8892583847046
8,0.006,0.006,0.008,0.002,0.0018027754226637813,0.016,0.002,0.0021000000000000003,0.5,-52608126.65643752,2426.1036014556885
9,0.006,0.006,0.008,0.002,0.0018027754226637813,0.016,0.002,0.002,0.525,-52609909.587179385,2691.3078825473785
10,0.0056999999999999985,0.006066666666666665,0.008088888888888889,0.002022222222222222,0.0018228062606933792,0.016177777777777777,0.002022222222222222,0.002022222222222222,0.5055555555555555,-52605758.03473954,2967.1611359119415
11,0.00593333333333333,0.005714814814814813,0.008108641975308643,0.0020271604938271615,0.00182725755803329,0.01621728395061728,0.0020271604938271615,0.00202716049382716,0.5067901234567902,-52604972.860375986,3235.3219513893127
12,0.005918518518518516,0.005951440329218105,0.007643895747599449,0.0020331961591220854,0.0018326980325598476,0.016265569272976683,0.0020331961591220854,0.0020331961591220854,0.5082990397805214,-52604306.69525019,3505.174119234085
13,0.005900411522633741,0.005940649291266571,0.00796476146928822,0.0020405730833714386,0.0018393475014256402,0.016324584666971495,0.0020405730833714377,0.002040573083371437,0.4795877152873037,-52603061.97681467,3781.6947979927063
14,0.005878280749885684,0.005927460244881366,0.007956930684685604,0.0020495893241206454,0.0018474746300393859,0.016396714592965163,0.0019273671018984239,0.0020495893241206454,0.5000516520178158,-52601663.3562959,4052.595325946808
15,0.005851232027638058,0.005911340299299447,0.007947359725726848,0.002060609173925234,0.001857407787233965,0.016484873391401873,0.0020112264578758515,0.002060609173925234,0.5000631302439968,-52599912.162477955,4332.129027605057
16,0.005818172478224295,0.005891638143588214,0.007935661886999477,0.0019518556570197309,0.0018695483126940063,0.01659262303393562,0.002013721226292708,0.0020740778792419524,0.5000771591871074,-52598013.61493974,4597.436853647232
