gr,name,start,end,topology,int_1,int_2
1,16,0,89,0,2,2
2,15,90,661,0,2,1
3,22,662,1933,0,3,1
4,1,1934,4615,0,0,1
5,101,4616,4874,3,1,4
6,99,4875,4908,3,1,2
7,22,4909,5494,0,3,1
8,15,5495,5748,0,2,1
9,22,5749,6657,0,3,1
10,71,6658,7052,2,1,2
11,99,7053,7543,3,1,2
12,101,7544,7864,3,1,4
13,106,7865,7972,3,2,4
14,101,7973,9764,3,1,4
15,110,9765,9913,3,3,4
16,32,9914,10319,0,4,4
17,78,10320,10331,2,2,4
18,82,10332,10693,2,3,4
19,32,10694,10784,0,4,4
20,78,10785,12148,2,2,4
21,82,12149,12767,2,3,4
22,32,12768,13421,0,4,4
23,34,13422,13644,0,4,6
24,59,13645,14187,1,4,6
25,34,14188,14426,0,4,6
26,59,14427,16393,1,4,6
27,90,16394,17098,2,6,6
28,112,17099,17197,3,3,6
29,69,17198,17295,2,0,6
30,90,17296,18500,2,6,6
31,69,18501,18641,2,0,6
32,13,18642,19003,0,1,6
33,97,19004,19947,3,0,6
34,112,19948,22055,3,3,6
35,90,22056,22254,2,6,6
36,84,22255,22290,2,3,6
37,83,22291,22648,2,3,5
38,84,22649,22821,2,3,6
39,108,22822,23025,3,2,6
40,106,23026,23427,3,2,4
41,30,23428,23949,0,4,2
42,43,23950,26597,1,1,2
43,80,26598,27398,2,2,6
44,23,27399,28306,0,3,2
45,30,28307,30995,0,4,2
46,37,30996,31975,1,0,2
47,30,31976,32133,0,4,2
48,29,32134,33367,0,4,1
49,32,33368,34053,0,4,4
50,39,34054,35937,1,0,4
51,95,35938,36984,3,0,4
52,113,36985,37170,3,4,4
53,115,37171,37739,3,4,6
54,69,37740,37940,2,0,6
55,34,37941,38042,0,4,6
56,27,38043,38531,0,3,6
57,97,38532,39461,3,0,6
58,34,39462,40660,0,4,6
59,32,40661,41740,0,4,4
60,34,41741,43202,0,4,6
61,32,43203,43323,0,4,4
62,45,43324,43749,1,1,4
63,44,43750,46333,1,1,3
64,45,46334,46386,1,1,4
65,47,46387,46782,1,1,6
66,34,46783,47158,0,4,6
67,47,47159,47163,1,1,6
68,6,47164,47985,0,0,6
69,34,47986,48689,0,4,6
70,47,48690,49179,1,1,6
71,41,49180,49789,1,0,6
72,37,49790,50350,1,0,2
73,9,50351,50807,0,1,2
74,13,50808,51374,0,1,6
75,12,51375,51704,0,1,5
76,11,51705,51705,0,1,4
77,86,51706,51789,2,4,5
78,111,51790,52223,3,3,5
79,3,52224,53309,0,0,3
80,31,53310,53594,0,4,3
81,33,53595,54008,0,4,5
82,5,54009,56064,0,0,5
83,68,56065,56499,2,0,5
84,28,56500,57123,0,4,0
85,32,57124,57448,0,4,4
86,114,57449,58696,3,4,5
87,32,58697,58852,0,4,4
88,18,58853,58951,0,2,4
89,114,58952,59818,3,4,5
90,96,59819,60077,3,0,5
91,83,60078,60523,2,3,5
92,84,60524,62286,2,3,6
93,59,62287,62417,1,4,6
94,27,62418,62593,0,3,6
95,20,62594,65502,0,2,6
96,34,65503,66299,0,4,6
97,6,66300,67397,0,0,6
98,47,67398,67495,1,1,6
99,6,67496,68390,0,0,6
100,3,68391,68640,0,0,3
101,10,68641,69097,0,1,3
102,13,69098,69693,0,1,6
103,47,69694,69763,1,1,6
104,13,69764,70366,0,1,6
105,8,70367,72728,0,1,1
106,103,72729,73173,3,1,6
107,22,73174,73781,0,3,1
108,103,73782,75091,3,1,6
109,97,75092,76377,3,0,6
110,52,76378,77289,1,2,6
111,75,77290,77413,2,1,6
112,108,77414,78132,3,2,6
113,6,78133,78304,0,0,6
114,108,78305,78931,3,2,6
115,23,78932,79620,0,3,2
116,80,79621,81037,2,2,6
117,13,81038,81410,0,1,6
118,6,81411,82264,0,0,6
119,80,82265,84374,2,2,6
120,34,84375,84766,0,4,6
121,103,84767,85665,3,1,6
122,15,85666,85791,0,2,1
123,103,85792,86226,3,1,6
124,97,86227,86707,3,0,6
125,103,86708,86822,3,1,6
126,41,86823,87714,1,0,6
127,75,87715,89341,2,1,6
128,29,89342,89597,0,4,1
129,103,89598,89863,3,1,6
130,115,89864,90759,3,4,6
131,97,90760,90999,3,0,6
132,96,91000,91898,3,0,5
133,12,91899,92267,0,1,5
134,13,92268,92474,0,1,6
135,12,92475,92654,0,1,5
136,102,92655,95556,3,1,5
137,103,95557,95829,3,1,6
138,117,95830,96623,3,5,6
139,5,96624,97483,0,0,5
140,117,97484,98045,3,5,6
141,40,98046,98691,1,0,5
142,102,98692,99760,3,1,5
143,61,99761,99999,1,5,6
