From,To,Prob
"(0, 0, 0)","(0, 0, 0)",0.18130520683037013
"(4, 0, 0)","(4, 0, 0)",0.11797254445725198
"(0, 0, 0)","(4, 0, 0)",3.949771621261955e-06
"(4, 0, 0)","(0, 0, 0)",3.949771621261955e-06
"(0, 0, 0)","(1, 0, 0)",3.7924761220555467e-05
"(1, 0, 0)","(0, 0, 0)",3.7924761220555467e-05
"(4, 0, 0)","(1, 0, 0)",2.1435952445571163e-05
"(1, 0, 0)","(4, 0, 0)",2.1435952445571163e-05
"(0, 0, 0)","(2, 0, 0)",3.7924761220555446e-05
"(2, 0, 0)","(0, 0, 0)",3.7924761220555446e-05
"(4, 0, 0)","(2, 0, 0)",2.1435952445571167e-05
"(2, 0, 0)","(4, 0, 0)",2.1435952445571167e-05
"(0, 0, 0)","(3, 0, 0)",3.792476122055546e-05
"(3, 0, 0)","(0, 0, 0)",3.792476122055546e-05
"(4, 0, 0)","(3, 0, 0)",2.1435952445571163e-05
"(3, 0, 0)","(4, 0, 0)",2.1435952445571163e-05
"(1, 0, 0)","(1, 0, 0)",0.2332410176347999
"(1, 0, 0)","(2, 0, 0)",0.00010581472519041198
"(1, 0, 0)","(3, 0, 0)",0.00010589593572248377
"(2, 0, 0)","(1, 0, 0)",0.00010581472519041197
"(2, 0, 0)","(2, 0, 0)",0.23323959061351376
"(2, 0, 0)","(3, 0, 0)",0.00010732295700866683
"(3, 0, 0)","(1, 0, 0)",0.00010589593572248374
"(3, 0, 0)","(2, 0, 0)",0.00010732295700866683
"(3, 0, 0)","(3, 0, 0)",0.2332395094029817
