step,par1,par2,fn,gr1,gr2
1,0.1,0.01,3537.4242804165096,30.04446417435247,22363.38840436929
2,1e-6,1e-6,6986.342211496071,123099.64890204355,-25538462.11207203
3,0.06562056256203505,0.006562365674234627,3478.721828831478,-83.43166246049805,9576.930774021548
4,0.04823135735300064,0.004366261522188424,3483.055249150752,68.94772234772972,-17773.61634759245
5,0.05801216572066809,0.005601491862413701,3473.8829900430965,-60.556286271093995,1051.8467461906766
6,0.05820382972603661,0.005537495854014498,3473.827910468603,-56.539995111961616,293.6296003008465
7,0.059583334791707465,0.00550572750054857,3473.7498926597345,-53.25740373109511,-172.07246518410102
8,0.06990163404074615,0.005432436781684795,3473.338808301483,-39.75753494387391,-1680.672445422715
9,0.09141881560816852,0.005434708209910307,3472.6578421133536,-23.815757026568463,-2570.563705080531
10,0.1322289995212168,0.00558337813807145,3471.746026469917,-7.346136551404925,-1438.9021852389305
11,0.15555833694227122,0.00569780575860283,3471.553718177759,-1.8985859105669078,-105.31234529025824
12,0.16120605490913853,0.005716984941000641,3471.5463940230547,-0.8475781919514702,124.7718262015951
13,0.16388704207879676,0.005715142670687633,3471.5445527230618,-0.36831268516834825,94.14859484195404
14,0.16525996828969924,0.005698720740471215,3471.544301723344,-0.1052136872203846,-123.64539511736439
15,0.164602394897457,0.005706586148148497,3471.543930778177,-0.22943423346077907,-19.10312578729645
16,0.16587813468425758,0.005708144646917834,3471.543768393269,-0.0261480818153359,-1.390757436183776
17,0.1660413376442578,0.005708277251455119,3471.5437674793275,-5.306628736434504e-4,0.02454731657053344
